Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax ((W)),PTC,Notes,"Design Qualification Certification
(Optional Submission) (IEC 61215:2016)",Performance Evaluation (Optional Submission) (IEC 61853-1:2011),Family,Technology,A_c ((m2)),N_s,N_p,BIPV,Nameplate Isc ((A)),Nameplate Voc ((V)),Nameplate Ipmax ((A)),Nameplate Vpmax ((V)),Average NOCT ((°C)),γPmax ((%/°C)),αIsc ((%/°C)),βVoc ((%/°C)),αIpmax ((%/°C)),βVpmax ((%/°C)),"IPmax, low ((A))","VPmax, low ((V))","IPmax, NOCT ((A))","VPmax, NOCT ((V))",Mounting,Type,Short Side ((m)),Long Side ((m)),Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE400MD-108,"400 W, 108 half-cut cell monocrystalline module, white backsheet and silver frame, 1500V max system Vdc",UL 61730,400.0,370.4,,1647846000,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.79,37.03,13.03,30.71,46.7,-0.3571,0.038,-0.2652,,,2.68,29.85,10.63,28.52,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE400MD-108BS,"400W, 108 half-cut cell bifacial monocrystalline module, transparent backsheet, 1500V max system Vdc",UL 61730,400.0,373.3,,1663311600,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.79,37.1,12.9,31.0,46.9,-0.32,0.036,-0.248,,,2.64,29.97,10.56,28.7,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE400MD-108E,"400 W, 108 half-cut cell monocrystalline module, black backsheet and frame, 1500V max system Vdc",UL 61730,400.0,368.3,,1685602800,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.6,36.9,12.96,30.8,47.5,-0.369,0.046,-0.276,,,2.65,29.84,10.59,28.4,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE405MD-108,"405 W, 108 half-cut cell monocrystalline module, white backsheet and silver frame, 1500V max system Vdc",UL 61730,405.0,375.2,,1647846000,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.86,37.15,13.13,30.86,46.7,-0.3571,0.038,-0.2652,,,2.7,30.0,10.71,28.66,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE405MD-108BS,"405W, 108 half-cut cell bifacial monocrystalline module, transparent backsheet, 1500V max system Vdc",UL 61730,405.0,378.1,,1663311600,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.87,37.2,12.98,31.2,46.9,-0.32,0.036,-0.248,,,2.66,30.16,10.63,28.9,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE405MD-108E,"405 W, 108 half-cut cell monocrystalline module, black backsheet and frame, 1500V max system Vdc",UL 61730,405.0,373.1,,1685602800,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.65,37.1,13.05,31.0,47.5,-0.369,0.046,-0.276,,,2.67,30.02,10.66,28.5,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE410MD-108,"410 W, 108 half-cut cell monocrystalline module, white backsheet and silver frame, 1500V max system Vdc",UL 61730,410.0,380.0,,1647846000,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.94,37.23,13.22,31.03,46.7,-0.3571,0.038,-0.2652,,,2.72,30.16,10.79,28.81,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE410MD-108BS,"410W, 108 half-cut cell bifacial monocrystalline module, transparent backsheet, 1500V max system Vdc",UL 61730,410.0,382.9,,1663311600,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.95,37.3,13.04,31.5,46.9,-0.32,0.036,-0.248,,,2.67,30.39,10.67,29.1,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE410MD-108E,"410 W, 108 half-cut cell monocrystalline module, black backsheet and frame, 1500V max system Vdc",UL 61730,410.0,377.8,,1685602800,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,13.7,37.3,13.12,31.2,47.5,-0.369,0.046,-0.276,,,2.68,30.21,10.72,28.7,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE415MD-108,"415 W, 108 half-cut cell monocrystalline module, white backsheet and silver frame, 1500V max system Vdc",UL 61730,415.0,384.8,,1647846000,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,14.02,37.38,13.31,31.19,46.7,-0.3571,0.038,-0.2652,,,2.73,30.32,10.86,28.96,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE415MD-108E,"415 W, 108 half-cut cell monocrystalline module, black backsheet and frame, 1500V max system Vdc",UL 61730,415.0,382.6,,1685602800,No Information Submitted,Monocrystalline,Mono-c-Si,1.93,54.0,2.0,N,14.02,37.4,13.31,31.2,47.5,-0.369,0.046,-0.276,,,2.72,30.17,10.87,28.7,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE435MD-120BS,"435W, 120 half-cut cell bifacial monocrystalline module, transparent backsheet, 1500V max system Vdc",UL 61730,435.0,402.6,,1663311600,No Information Submitted,Monocrystalline,Mono-c-Si,2.14,60.0,2.0,N,13.66,41.0,12.91,33.8,46.8,-0.356,0.045,-0.274,,,2.58,33.38,10.29,32.1,,,,,,,2024-07-22 00:00:00,
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",AE440MD-120,"440 W, 120 half-cut cell monocrystalline module, white backsheet, silver frame, 1500V max system Vdc",UL 61730,440.0,408.4,,1647846000,No Information Submitted,Monocrystalline,Mono-c-Si,2.14,60.0,2.0,N,13.7,41.0,12.96,34.0,46.9,-0.343,0.05,-0.259,,,2.61,33.45,10.39,32.2,,,,,,,2024-07-22 00:00:00,
